100,1
120,1
150,1
16,2
18,2
1990,2
20,1
2020,2
2021,3
2022,4
2024,1
2025,2
2026,1
2030,2
2040,1
2045,2
20er,1
21,3
23,1
24,1
30,1
360,1
40,1
60,1
65,1
88,1
a1,1
aat,1
ab,7
abbau,2
abbauen,4
abei,1
aben,3
abfrage,1
abgebauten,1
abgegeben,2
abgerufen,1
abgeschobene,1
abgesetzt,1
abgestimmten,2
abgleichen,1
abhilf,1
abhängigen,1
abhängigkeit,2
abhängigkeiten,2
ablehnen,1
abläufen,1
abruf,1
abrüstung,2
absatzes,1
absc,1
abschließend,1
abschluss,1
abschottung,2
abschreckung,1
abschreibung,1
abschreibungsmöglichkeiten,1
abschöpfen,1
absi,1
absich,1
absichern,3
absicherung,1
abstimmen,1
abstimmung,2
abwandern,1
abwehr,3
abwehrzentrum,1
abweichen,1
abweichung,1
abwertungen,1
abwägen,1
abzubauen,1
abzuschließen,1
abzuschrecken,1
abzusi,1
ache,1
achten,1
achtet,1
achtlos,1
ad,1
adjustment,1
adressen,2
afrika,2
afrikarats,1
aft,1
aftlicher,1
afür,1
ag,2
age,1
agement,1
agentur,1
aggressive,1
agieren,1
agierende,1
agierender,1
agrar,1
agrardaten,1
agrarpolitik,1
agrarprodukte,1
agri,2
agrof,1
ahmen,1
ahren,1
ai,1
akademische,1
akademischer,1
akte,1
akteure,1
aktionsplan,1
aktiv,3
aktive,3
aktiven,1
aktives,1
aktuell,2
aktuelle,2
akzente,1
akzeptable,1
akzeptables,1
akzeptanz,1
al,1
alarbeit,1
alb,1
alen,1
algorithmen,1
alisieren,1
alisierung,1
all,3
alleinige,1
alleinstehende,1
alleinstellungsmerkmal,1
allgemeine,1
allgemeinen,2
allgemeinverbindlichkeitserklärung,1
allseitigen,1
alltag,5
alltäglichen,1
alseuropäi,1
alsinter,1
alt,1
alte,1
alter,6
alternat,1
alternative,4
alternativen,1
altersarmut,1
altersgerechten,1
altersgrenzen,1
altersversorgung,1
altersvorsorge,4
altlastenbese,1
altsgefüge,1
amazon,1
ambitionierten,1
ambitionierteste,1
ambulanten,1
amerikanisches,1
ammoniak,1
amts,1
amtsund,1
analog,2
anbau,1
anbieten,1
anbieter,1
ancen,1
andererseits,1
andernfalls,1
anerkannter,1
anerkennen,1
anerkennung,2
anerkennungsquoten,1
anfallen,1
anfang,3
anforderungen,5
ange,1
angebot,3
angebote,5
angeboten,3
angegriffen,1
angelaufene,1
angelegenheiten,1
angelehnt,1
angeme,1
angemessene,1
angemessener,1
angepasst,1
angesichts,3
angesparte,1
angewiesen,1
angreif,1
angrif,1
angriff,1
angriffe,2
angriffen,1
angst,1
ankheiten,1
ankommen,3
anlageformen,1
anlagenfläche,1
anlegerschutz,1
anliegen,1
anmelden,1
anpacken,1
anpassen,5
anpassung,1
anrainerstaaten,1
anrechnung,1
anrecht,1
anreize,4
anreizen,1
anreizsystemen,1
ans,1
ansatz,6
anschlussfähigkeit,1
anschubfinanzierung,1
ansiedlung,2
ansp,1
anspruch,5
anspruchsvollen,1
ansprüche,1
anstreben,1
anstrengungen,3
ansätze,2
anteil,1
anteilen,1
anteilig,1
anteils,1
anter,1
antiinfektiva,1
antisemitismus,1
antiziganismus,1
antriebsformen,1
anträge,1
antwort,1
antworten,1
anwachsen,1
anwenden,1
anwendung,3
anwendungen,2
anwendungsmöglichkeiten,1
